progress;finished;duration;experience;oss_experience;repo_name;PR_amount;role;role_text;job;is_daily_job;testing;test_kind;test_kind_text;test_coverage_kind;test_coverage_kind_text;code_coverage_aware;code_coverage_amount;code_coverage_location;test_tooling;PR_comments;PR_comments_kind;PR_comments_count_tests;PR_comments_count_code_quality;PR_comments_count_defect;PR_comments_kind_other;reviewers;CR_checklist;CR_checklist_location;PR_checks;PR_checks_type;PR_checks_type_other;how_CR_helps;use_asats;asats_name;gha_or_apps;gha_type;which_app;CI_workflows;CI_configuration;CI_when_how_check;CI_situation;any_bots;which_bots;newcomer_guidelines;building_guidelines;quote_consent;archive_consent;job_academia;job_industry;job_oss;job_other;test_kind_unit;test_kind_integration;test_kind_validation;test_kind_system;test_kind_other;tc_kind_line;tc_kind_branch;tc_kind_mutation;tc_kind_other
;Finished;Duration (in seconds);How many years have you been developing software?;When did you first contributed to an Open Source Software project?;"What is the repository handle (`github_user`/`repository_name`) of the project that you have contributed the most recently?

(Please consider a software project on GitHub, and if you have contributed to many projects consider the most popular/active one)";In how many pull requests have you been involved (submitting, merging, or reviewing) during the last month for the project that you mentioned?;Which of the following best describes your role in the mentioned project? (if you have any kind of executive role in the project select second option) - Selected Choice;Which of the following best describes your role in the mentioned project? (if you have any kind of executive role in the project select second option) - Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below) - Text;You work for:;Do you consider contributing to an Open Source Software project as your main professional activity?;Does the project have automated (scripted) tests?;What kind of (functional) tests do you have in the project? (leave open if you don't know) - Selected Choice;What kind of (functional) tests do you have in the project? (leave open if you don't know) - Other (Please specify in the text box below) - Text;What kind of test coverage information is available for the project? (leave open if you don't know) - Selected Choice;What kind of test coverage information is available for the project? (leave open if you don't know) - Other (Please specify in the text box below) - Text;Considering your answer to the previous question, do you know how much is the code coverage of the project? - Selected Choice;Considering your answer to the previous question, do you know how much is the code coverage of the project? - Yes, I know. (Please specify in the text box below) - Text;Considering your answer to the previous question, do you know how much is the code coverage of the project? - No, but I can find this information somewhere on project's GitHub. (Please specify in the text box below) - Text;What kind of tooling do you use for testing of the project? (frameworks, libraries, etc.);How many comments did you receive (as the author of the pull request), or give (as the maintainer)?;"The comments that you received/gave were about:

(Please specify the number of comments in the text box below the option) - Selected Choice";"The comments that you received/gave were about:

(Please specify the number of comments in the text box below the option) - Tests - Text";"The comments that you received/gave were about:

(Please specify the number of comments in the text box below the option) - Code quality or maintainability defects - Text";"The comments that you received/gave were about:

(Please specify the number of comments in the text box below the option) - Functional defects - Text";"The comments that you received/gave were about:

(Please specify the number of comments in the text box below the option) - Other (Please specify the subject and number of comments in the text box below) - Text";How many code reviewers were involved in the pull request? (Not considering code review bots);Does the project have a checklist/guideline to check before contributors submit or maintainers review a pull request? - Selected Choice;Does the project have a checklist/guideline to check before contributors submit or maintainers review a pull request? - Yes (Please provide a link to it in the text box below): - Text;"Does the project use GitHub's Checks in pull requests?

(We are referring to the ""Checks"" tab in a pull request page)";What kind of reports you get from GitHub's Checks' comments on your pull requests? - Selected Choice;What kind of reports you get from GitHub's Checks' comments on your pull requests? - Other (Please specify in the text box below) - Text;How does code reviewing help you?;"Do you use ASATs in the project?

By ASATs, we mean any automated static analysis tool that helps developers detect bugs, code quality issues, code smells, etc. 

For example, Checkstyle and PMD are two ASATs for Java programming language, and SonarQube is another popular one for multiple programming languages.";What are the names of the ASATs you use in the project?;Do you use GitHub Actions and/or GitHub Apps in the project?;Which type of GitHub Actions do you use in the project? (Please name them);Which GitHub Apps do you use in the project? (Please name them);"Does the project have CI workflows configured on GitHub?

By CI workflows, we are referring to the automated workflows on GitHub to build and test the project.";How do you (or other people in the project) configure CI workflows on GitHub?;When and how do you check the project's CI results on GitHub?;Describe a situation in which CI workflows helped you in your contribution to the project.;"Do you use bots in the project?

Examples are Dependebot and other GitHub Apps.";Which bots do you use in the project? (Please name them);Does a newcomer get any guidelines about how to contribute to the project? If yes can you provide a link to it?;Does the project have specific guidelines (e.g., CONTRIBUTING.md) to make the latest version of the project buildable/compilable?;I agree that my free text responses can be quoted de-identified in research outputs.;I give permission for the de-identified answers that I provided in this survey to be archived in a data repository, so it can be used for future research and learning.;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
;"{""ImportId"":""finished""}";"{""ImportId"":""duration""}";"{""ImportId"":""QID4""}";"{""ImportId"":""QID5""}";"{""ImportId"":""QID3_TEXT""}";"{""ImportId"":""QID7""}";"{""ImportId"":""QID1""}";"{""ImportId"":""QID1_2_TEXT""}";"{""ImportId"":""QID2""}";"{""ImportId"":""QID6""}";"{""ImportId"":""QID17""}";"{""ImportId"":""QID11""}";"{""ImportId"":""QID11_5_TEXT""}";"{""ImportId"":""QID13""}";"{""ImportId"":""QID13_4_TEXT""}";"{""ImportId"":""QID16""}";"{""ImportId"":""QID16_1_TEXT""}";"{""ImportId"":""QID16_2_TEXT""}";"{""ImportId"":""QID15_TEXT""}";"{""ImportId"":""QID19_TEXT""}";"{""ImportId"":""QID20""}";"{""ImportId"":""QID20_1_TEXT""}";"{""ImportId"":""QID20_2_TEXT""}";"{""ImportId"":""QID20_3_TEXT""}";"{""ImportId"":""QID20_4_TEXT""}";"{""ImportId"":""QID21""}";"{""ImportId"":""QID25""}";"{""ImportId"":""QID25_1_TEXT""}";"{""ImportId"":""QID26""}";"{""ImportId"":""QID27""}";"{""ImportId"":""QID27_5_TEXT""}";"{""ImportId"":""QID34_TEXT""}";"{""ImportId"":""QID29""}";"{""ImportId"":""QID31_TEXT""}";"{""ImportId"":""QID40""}";"{""ImportId"":""QID41_TEXT""}";"{""ImportId"":""QID43_TEXT""}";"{""ImportId"":""QID47""}";"{""ImportId"":""QID49_TEXT""}";"{""ImportId"":""QID50_TEXT""}";"{""ImportId"":""QID48_TEXT""}";"{""ImportId"":""QID38""}";"{""ImportId"":""QID39_TEXT""}";"{""ImportId"":""QID51_TEXT""}";"{""ImportId"":""QID52_TEXT""}";"{""ImportId"":""QID57""}";"{""ImportId"":""QID55""}";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;753;3 to 6 years;3 to 6 years ago;ory/hydra;Less than 10;Source code contributor;;;No;No;;;;;;;;;4;;;;;;1;Yes (Please provide a link to it in the text box below):;;1;Code quality warnings,Code coverage reports,Other (Please specify in the text box below);licensing;;No.;;Yes, only GitHub Actions.;not sure;;Yes.;file in a repostitory;after pushing changes to make sure everything is fine;i submitted a PR and verified everything works as I expected;Yes.;;sure. There is a contribution.md file in the repo;;Yes;No;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;2645;3 to 6 years;1 to 3 years ago;;Less than 10;Source code contributor;;Academia;No;Yes;Integration testing,System testing,Other (Please specify in the text box below);TEst!;Statement/Line coverage;;No, but I can find this information somewhere on project's GitHub. (Please specify in the text box below);;240;codecov---;5;Tests,Functional defects;3;;1;;2;Not aware of it.;;I'm not aware of it.;Code quality warnings,Test results;;;I don't know.;;I don't know.;;;We don't have CI workflows.;;;;No.;;;;Yes;No;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
100.0;TRUE;680;3 to 6 years;7 to 10 years ago;fasten-project/data-processing;Less than 10;Source code contributor;;Academia,Open Source Software;Yes;Yes;Unit testing,Integration testing;;Statement/Line coverage,Branch coverage;;No, this information is not on the GitHub page of the project.;;;Junit;5;Code quality or maintainability defects;;5;;;1;Not aware of it.;;I'm not aware of it.;Build checks,Test results;;It helps me to improve code quality and avoid obvious programming errors. Also, sometimes, I learn different ways to address an issue.;I don't know.;;Yes, only GitHub Actions.;A general GH action to build and test the project.;;Yes.;Using examples provided by GitHub Actions.;I usually see the CI results before requesting a code review to make sure the code compiles and passes the unit tests.;It helped to catch a bug before merging a PR into the main branch.;No.;;;;Yes;Yes;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
100.0;TRUE;454;3 to 6 years;Less than 1 year ago;AISE-TUDelft/Capybara-BinT5;Less than 10;Source code contributor;;Academia;No;No;;;;;;;;;0;;;;;;;No.;;No.;;;;No.;;No.;;;We don't have CI workflows.;;;;Yes.;Dependabot;;;No;No;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;470;7 to 10 years;3 to 6 years ago;amirdeljouyi/micro-capture-replay-testing-research;Less than 10;Source code contributor;;Academia;No;No;;;;;;;;;1;;;;;;1;No.;;No.;;;;No.;;Yes, only GitHub Actions.;I mostly use github actions for deploying (AWS ElasticBeanStalk, S3, and Lambda);;Yes.;By GitHub actions;;;No.;;;;Yes;Yes;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
100.0;TRUE;2875;10 years and more;3 to 6 years ago;syntest-framework/syntest-core;10 to 50;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);All of the above;Academia,Open Source Software;No;Yes;Unit testing;;Statement/Line coverage,Branch coverage;;No, this information is not on the GitHub page of the project.;;;Mocha, Istanbul;6;Code quality or maintainability defects,Functional defects;;5;1;;1;No.;;I'm not aware of it.;Code quality warnings,Build checks,Test results;;It helps us find common mistakes and allow multiple people to look at the same problem.;Yes;;Yes, only GitHub Actions.;"actions/checkout@v3
actions/setup-node@v3
actions/cache@v2
Compiling the project
Testing the project
Checking style formating
Linting
Versioning
Publishing";;Yes.;Using the workflow files in the .github directory;It is checked on each commit in a PR;It helps us check if the submitted code complies with our code standards (even though, we use pre-commit hooks, sometimes it still happens that the CI fails);No.;;https://github.com/syntest-framework/syntest-core/blob/main/CONTRIBUTING.md;Yes, in the GitHub README;Yes;Yes;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
100.0;TRUE;377;10 years and more;10 years ago or more;apache/maven-resolver;More than 100;Source code contributor;;Open Source Software;Yes;Yes;Unit testing,Integration testing,System testing;;Statement/Line coverage,Branch coverage;;No, but I can find this information somewhere on project's GitHub. (Please specify in the text box below);;;Junit, sonar, etc;10;Code quality or maintainability defects;;;;;More than 2;Yes (Please provide a link to it in the text box below):;Is in pr template;Yes;Build checks,Test results;;In many ways, more eyes see more ;Yes;;Yes, only GitHub Actions.;Mostly Ci like actions, thqt extends asf jenkins one;;Yes.;We use shared workflows ;Per each per and commit;The low bar for passing to next round of reviews;Yes.;Dependabot mostly;Is in each repo root readme (ie apache/maven-compiler-plugin);No;Yes;Yes;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE
100.0;TRUE;562;10 years and more;3 to 6 years ago;fingerprintjs/fingerprintjs;Less than 10;Maintainer / Integrator / Project (co-)owner / Tech lead (Please specify in the text box below);;Industry;No;Yes;Unit testing,Integration testing;;Other (Please specify in the text box below);No coverage;No, this information is not on the GitHub page of the project.;;;Jasmine, Karma, BrowserStack;5;Tests,Code quality or maintainability defects,Functional defects;;;;;1;Yes (Please provide a link to it in the text box below):;https://github.com/fingerprintjs/fingerprintjs/blob/master/.github/workflows/test.yml;Yes;Other (Please specify in the text box below);The checks don't post comments;Ensure the code maintainability and reliability;Yes;;Yes, only GitHub Actions.;See https://github.com/fingerprintjs/fingerprintjs/tree/master/.github/workflows;;Yes.;Through the YML code;GitHub emails me if something is wrong. I also look at the checks section on the bottom of the PR page.;Found bugs through the tests;Yes.;Dependabot;https://github.com/fingerprintjs/fingerprintjs/blob/master/contributing.md;https://github.com/fingerprintjs/fingerprintjs/blob/master/contributing.md;Yes;Yes;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
